Holiday_ID,countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,Month
25266,Italy,Tutti i Santi,Tutti i Santi,NULL,IT,11/1/2018,11
25267,Poland,Uroczysto?? Wszystkich ?wi?tych,Uroczysto?? Wszystkich ?wi?tych,NULL,PL,11/1/2018,11
25268,Portugal,Dia de Todos os Santos,Dia de Todos os Santos,NULL,PT,11/1/2018,11
25270,Spain,Todos los Santos,Todos los Santos,NULL,ES,11/1/2018,11
25272,Hungary,Mindenszentek utáni pihen?nap,Mindenszentek utáni pihen?nap,NULL,HU,11/2/2018,11
25273,Finland,Pyhäinpäivä,Pyhäinpäivä,NULL,FI,11/3/2018,11
25276,Norway,Søndag,Søndag,NULL,NO,11/4/2018,11
25280,Belgium,Wapenstilstand,Wapenstilstand,NULL,BE,11/11/2018,11
25281,France,Armistice 1918,Armistice 1918,NULL,FR,11/11/2018,11
25282,Norway,Søndag,Søndag,NULL,NO,11/11/2018,11
25283,Poland,Narodowe ?wi?to Niepodleg?o?ci,Narodowe ?wi?to Niepodleg?o?ci,NULL,PL,11/11/2018,11
25290,Norway,Søndag,Søndag,NULL,NO,11/18/2018,11
25297,Norway,Søndag,Søndag,NULL,NO,11/25/2018,11
25300,Scotland,St. Andrew's Day,St. Andrew's Day,NULL,NULL,11/30/2018,11
25303,Portugal,Restauração da Independência,Restauração da Independência,NULL,PT,12/1/2018,12
25304,Norway,Søndag,Søndag,NULL,NO,12/2/2018,12
25306,Finland,Itsenäisyyspäivä,Itsenäisyyspäivä,NULL,FI,12/6/2018,12
25307,Spain,Día de la constitución Española,Día de la constitución Española,NULL,ES,12/6/2018,12
25309,Austria,Mariä Empfängnis,Mariä Empfängnis,NULL,AT,12/8/2018,12
25310,Italy,Immacolata Concezione,Immacolata Concezione,NULL,IT,12/8/2018,12
25311,Portugal,Imaculada Conceição,Imaculada Conceição,NULL,PT,12/8/2018,12
25312,Spain,La Inmaculada Concepción,La Inmaculada Concepción,NULL,ES,12/8/2018,12
25313,Norway,Søndag,Søndag,NULL,NO,12/9/2018,12
25315,Norway,Søndag,Søndag,NULL,NO,12/16/2018,12
25320,Norway,Søndag,Søndag,NULL,NO,12/23/2018,12
25323,Finland,Jouluaatto,Jouluaatto,NULL,FI,12/24/2018,12
25324,Hungary,Szenteste,Szenteste,NULL,HU,12/24/2018,12
25329,Austria,Christtag,Christtag,NULL,AT,12/25/2018,12
25331,Belgium,Kerstmis,Kerstmis,NULL,BE,12/25/2018,12
25335,Croatia,Boži?,Boži?,NULL,HR,12/25/2018,12
25338,England,Christmas Day,Christmas Day,NULL,NULL,12/25/2018,12
25339,Finland,Joulupäivä,Joulupäivä,NULL,FI,12/25/2018,12
25340,France,Noël,Noël,NULL,FR,12/25/2018,12
25341,Germany,Erster Weihnachtstag,Erster Weihnachtstag,NULL,DE,12/25/2018,12
25342,Hungary,Karácsony,Karácsony,NULL,HU,12/25/2018,12
25346,Italy,Natale,Natale,NULL,IT,12/25/2018,12
25351,Norway,Første juledag,Første juledag,NULL,NO,12/25/2018,12
25352,Poland,Bo?e Narodzenie (pierwszy dzie?),Bo?e Narodzenie (pierwszy dzie?),NULL,PL,12/25/2018,12
25353,Portugal,Dia de Natal,Dia de Natal,NULL,PT,12/25/2018,12
25354,Scotland,Christmas Day,Christmas Day,NULL,NULL,12/25/2018,12
25357,Spain,Navidad,Navidad,NULL,ES,12/25/2018,12
25365,Austria,Stefanitag,Stefanitag,NULL,AT,12/26/2018,12
25367,Croatia,Sveti Stjepan,Sveti Stjepan,NULL,HR,12/26/2018,12
